volume,page,entry_number,image_number,url,source
1,16,64,19,https://dlib.nyu.edu/aco/book/cornell_aco000443/19,bibliographic_citations (citation_id=37)
1,16,64,19,https://dlib.nyu.edu/aco/book/cornell_aco000443/19,author_bios.csv (author=ʾibrāhīm b ʿabd al-razzāq b. al-ḥasan al-ʿiǧlī al-ʾanṭākī ʾabū ʾisḥāq)
1,43,178,46,https://dlib.nyu.edu/aco/book/cornell_aco000443/46,author_bios.csv (author=b. al-ʾabzārī ʾaḥmad b. ǧaʿfar b. ʾaḥmad al-ġāfiqī al-ḫaṭīb ʾabū al-qāsim)
1,44,183,47,https://dlib.nyu.edu/aco/book/cornell_aco000443/47,bibliographic_citations (citation_id=11)
1,44,183,47,https://dlib.nyu.edu/aco/book/cornell_aco000443/47,bibliographic_citations (citation_id=29)
1,44,183,47,https://dlib.nyu.edu/aco/book/cornell_aco000443/47,author_bios.csv (author=b. al-munādī ʾaḥmad b. ǧaʿfar a. muḥammad al-baġdādī ʾabū al-ḥusayn)
1,49,208,52,https://dlib.nyu.edu/aco/book/cornell_aco000443/52,bibliographic_citations (citation_id=84)
1,49,208,52,https://dlib.nyu.edu/aco/book/cornell_aco000443/52,author_bios.csv (author=b. mihrān ʾaḥmad b. al-ḥusayn al-ʾiṣbahānī al-nīsābūrī ʾabū bakr)
1,54,230,57,https://dlib.nyu.edu/aco/book/cornell_aco000443/57,bibliographic_citations (citation_id=158)
1,54,230,57,https://dlib.nyu.edu/aco/book/cornell_aco000443/57,author_bios.csv (author=ʾaḥmad b. riḍwān b. muḥammad al-ṣaydalānī al-baġdādī ʾabū al-ḥusayn)
1,63,271,66,https://dlib.nyu.edu/aco/book/cornell_aco000443/66,bibliographic_citations (citation_id=55)
1,63,271,66,https://dlib.nyu.edu/aco/book/cornell_aco000443/66,author_bios.csv (author=ʾaḥmad b. al-ṣaqr b. ṯābit al-ṭāʾī al-manbiǧī ʾabū al-ḥasan)
1,70,308,73,https://dlib.nyu.edu/aco/book/cornell_aco000443/73,bibliographic_citations (citation_id=150)
1,84,380,87,https://dlib.nyu.edu/aco/book/cornell_aco000443/87,author_bios.csv (author=ʾaḥmad b. ʿalī b. faṣīḥ al-hamḏānī faḫr al-dīn)
1,86,390,NA,NA,bibliographic_citations (citation_id=313)
1,86,390,NA,NA,author_bios.csv (author=b. siwār ʾaḥmad b. ʿalī b. ʿubayd allāh al-baġdādī ʾabū ṭāhir)
1,92,417,NA,NA,bibliographic_citations (citation_id=189)
1,93,426,89,https://dlib.nyu.edu/aco/book/cornell_aco000443/89,author_bios.csv (author=ʾaḥmad b. ʾabī ʿumar al-ḫurāsānī al-ʾandarābī ʾabū ʿabd allāh)
1,113–14,522,109,https://dlib.nyu.edu/aco/book/cornell_aco000443/109,bibliographic_citations (citation_id=348)
1,120,554,116,https://dlib.nyu.edu/aco/book/cornell_aco000443/116,bibliographic_citations (citation_id=162)
1,125,579,121,https://dlib.nyu.edu/aco/book/cornell_aco000443/121,bibliographic_citations (citation_id=304)
1,125,579,121,https://dlib.nyu.edu/aco/book/cornell_aco000443/121,author_bios.csv (author=ʾaḥmad b. muḥammad b. ʿalī al-ḍarīr al-harawī ʾabū bakr)
1,128,604,124,https://dlib.nyu.edu/aco/book/cornell_aco000443/124,author_bios.csv (author=ʾaḥmad b. muḥammad al-qurṭubī al-qaysī ʾabū ǧaʿfar)
1,131,610,127,https://dlib.nyu.edu/aco/book/cornell_aco000443/127,author_bios.csv (author=b. dillah ʾaḥmad b. muḥammad b. ʾabī al-makārim al-wāsiṭī al-ḫayyāṭ ʾabū al-ʿabbās)
1,137,651,133,https://dlib.nyu.edu/aco/book/cornell_aco000443/133,bibliographic_citations (citation_id=198)
1,137,651,133,https://dlib.nyu.edu/aco/book/cornell_aco000443/133,author_bios.csv (author=ʾaḥmad b. masrūr b. ʿabd al-wahhāb al-baladī al-baġdādī al-ḫabbāz ʾabū naṣr)
1,139,663,135,https://dlib.nyu.edu/aco/book/cornell_aco000443/135,author_bios.csv (author=b. muǧāhid ʾaḥmad b. mūsā b. al-ʿabbās al-baġdādī ʾabū bakr)
1,146,680,142,https://dlib.nyu.edu/aco/book/cornell_aco000443/142,bibliographic_citations (citation_id=332)
1,146,680,142,https://dlib.nyu.edu/aco/book/cornell_aco000443/142,author_bios.csv (author=ʾaḥmad b. hibat allāh b. ʾaḥmad b. al-kirāyah al-ǧazarī ʾabū al-ʿabbās)
1,151,700,147,https://dlib.nyu.edu/aco/book/cornell_aco000443/147,author_bios.csv (author=ʾaḥmad b. yaʿqūb al-tāʾib al-ʾanṭākī ʾabū al-ṭayyib)
1,159,741,155,https://dlib.nyu.edu/aco/book/cornell_aco000443/155,author_bios.csv (author=ʾasʿad b. al-ḥusayn b. saʿd al-qāḍī ʾabū ḏarr al-yazdī)
1,164,763,160,https://dlib.nyu.edu/aco/book/cornell_aco000443/160,bibliographic_citations (citation_id=238)
1,166,774,162,https://dlib.nyu.edu/aco/book/cornell_aco000443/162,author_bios.csv (author=ʾismāʿīl b. ʿalī b. saʿdān al-wāsiṭī ʾabū naṣr)
1,193,891,189,https://dlib.nyu.edu/aco/book/cornell_aco000443/189,author_bios.csv (author=ǧaʿfar b. ʿalī b. hibat allāh al-hamdānī (al-hamaḏānī) ʾabū al-faḍl)
1,204,945,200,https://dlib.nyu.edu/aco/book/cornell_aco000443/200,author_bios.csv (author=al-ḥasan b. ʾaḥmad b. al-ḥasan b. sahl al-ʿaṭṭār al-hamaḏānī ʾabū al-ʿalāʾ)
1,206,951,202,https://dlib.nyu.edu/aco/book/cornell_aco000443/202,bibliographic_citations (citation_id=67)
1,206,951,202,https://dlib.nyu.edu/aco/book/cornell_aco000443/202,author_bios.csv (author=al-ḥasan b. ʾaḥmad b. ʿabd al-ġaffār ʾabū ʿalī al-fārisī)
1,211,970,207,https://dlib.nyu.edu/aco/book/cornell_aco000443/207,bibliographic_citations (citation_id=336)
1,211,970,207,https://dlib.nyu.edu/aco/book/cornell_aco000443/207,author_bios.csv (author=b. ballīmah al-ḥasan b. ḫalaf b. ʿabd allāh al-qayrawānī ʾabū ʿalī)
1,220–22,1007,216,https://dlib.nyu.edu/aco/book/cornell_aco000443/216,bibliographic_citations (citation_id=216)
1,220,1006,216,https://dlib.nyu.edu/aco/book/cornell_aco000443/216,author_bios.csv (author=al-ʾahwāzī al-ḥasan b. ʿalī b. ʾibrāhīm ʾabū ʿalī)
1,230,1045,226,https://dlib.nyu.edu/aco/book/cornell_aco000443/226,bibliographic_citations (citation_id=181)
1,230,1045,226,https://dlib.nyu.edu/aco/book/cornell_aco000443/226,author_bios.csv (author=al-ḥasan b. muḥammad b. ʾibrāhīm al-baġdādī al-mālikī ʾabū ʿalī)
1,237,1083,233,https://dlib.nyu.edu/aco/book/cornell_aco000443/233,bibliographic_citations (citation_id=58)
1,237,1083,233,https://dlib.nyu.edu/aco/book/cornell_aco000443/233,author_bios.csv (author=b. ḫalawayh al-ḥusayn b. ʾaḥmad b. ḥamdūn al-naḥwī ʾabū ʿabd allāh)
1,243,1110,239,https://dlib.nyu.edu/aco/book/cornell_aco000443/239,author_bios.csv (author=al-ḥusayn b. ʿuṯmān b. ṯābit al-baġdādī al-ḍarīr ʾabū ʿabd allāh)
1,280,1257,276,https://dlib.nyu.edu/aco/book/cornell_aco000443/276,bibliographic_citations (citation_id=236)
1,316–17,1392,312,https://dlib.nyu.edu/aco/book/cornell_aco000443/312,bibliographic_citations (citation_id=319)
1,320,1402,316,https://dlib.nyu.edu/aco/book/cornell_aco000443/316,author_bios.csv (author=sahl b. muḥammad b. ʾaḥmad b. al-ḥusayn al-ʾiṣbahānī al-ḥāǧǧī ʾabū ʿalī)
1,339,1475,335,https://dlib.nyu.edu/aco/book/cornell_aco000443/335,bibliographic_citations (citation_id=109)
1,339,1475,335,https://dlib.nyu.edu/aco/book/cornell_aco000443/335,bibliographic_citations (citation_id=132)
1,339,1475,335,https://dlib.nyu.edu/aco/book/cornell_aco000443/335,author_bios.csv (author=ʾabū al-ḥasan b. ġalbūn ṭāhir b. ʿabd al-munʿim b. ʿubayd allāh al-ḥalabī)
1,340,1474,336,https://dlib.nyu.edu/aco/book/cornell_aco000443/336,author_bios.csv (author=ṭāhir b. ʿarab b. ʾibrāhīm b. ʾaḥmad ʾabū al-ḥusayn al-ʾiṣbahānī)
1,356,1526,352,https://dlib.nyu.edu/aco/book/cornell_aco000443/352,author_bios.csv (author=ʿabd al-bāriʾ b. ʿabd al-raḥmān b. ʿabd al-karīm al-ṣaʿīdī al-ʾiskandarī ʾabū muḥammad)
